name,value,type,action,profile,reason
ASPD_SCALE,1.000000000000000000,9,exclude,,not selected by FS150 SITL policy
BAT1_A_PER_V,17.000000000000000000,9,exclude,,hardware-specific secondary battery settings are not valid for Gazebo
BAT1_CAPACITY,-1.000000000000000000,9,exclude,,hardware-specific secondary battery settings are not valid for Gazebo
BAT1_I_CHANNEL,-1,6,exclude,,hardware-specific secondary battery settings are not valid for Gazebo
BAT1_N_CELLS,3,6,exclude,,hardware-specific secondary battery settings are not valid for Gazebo
BAT1_R_INTERNAL,-1.000000000000000000,9,exclude,,hardware-specific secondary battery settings are not valid for Gazebo
BAT1_SOURCE,0,6,exclude,,hardware-specific secondary battery settings are not valid for Gazebo
BAT1_V_CHANNEL,-1,6,exclude,,hardware-specific secondary battery settings are not valid for Gazebo
BAT1_V_CHARGED,4.349999904632568359,9,exclude,,hardware-specific secondary battery settings are not valid for Gazebo
BAT1_V_DIV,19.269018173217773438,9,exclude,,hardware-specific secondary battery settings are not valid for Gazebo
BAT1_V_EMPTY,3.599999904632568359,9,exclude,,hardware-specific secondary battery settings are not valid for Gazebo
BAT1_V_LOAD_DROP,0.300000011920928955,9,exclude,,hardware-specific secondary battery settings are not valid for Gazebo
BAT_ADC_CHANNEL,-1,6,exclude,,not selected by FS150 SITL policy
BAT_A_PER_V,17.000000000000000000,9,exclude,,hardware battery ADC scaling is not valid for Gazebo
BAT_CAPACITY,-1.000000000000000000,9,exclude,,hardware battery ADC scaling is not valid for Gazebo
BAT_CRIT_THR,0.070000000298023224,9,include,power,matched power:BAT_CRIT_THR
BAT_EMERGEN_THR,0.050000000745058060,9,include,power,matched power:BAT_EMERGEN_THR
BAT_LOW_THR,0.150000005960464478,9,include,power,matched power:BAT_LOW_THR
BAT_N_CELLS,3,6,include,power,matched power:BAT_N_CELLS
BAT_R_INTERNAL,-1.000000000000000000,9,exclude,,not selected by FS150 SITL policy
BAT_SOURCE,0,6,exclude,,hardware battery ADC scaling is not valid for Gazebo
BAT_V_CHARGED,4.349999904632568359,9,include,power,matched power:BAT_V_CHARGED
BAT_V_DIV,19.269018173217773438,9,exclude,,hardware battery ADC scaling is not valid for Gazebo
BAT_V_EMPTY,3.599999904632568359,9,include,power,matched power:BAT_V_EMPTY
BAT_V_LOAD_DROP,0.300000011920928955,9,exclude,,not selected by FS150 SITL policy
BAT_V_OFFS_CURR,0.000000000000000000,9,exclude,,not selected by FS150 SITL policy
CAL_ACC0_ID,6946826,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC0_PRIO,50,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC0_ROT,-1,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC0_XOFF,0.018558030948042870,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC0_XSCALE,0.994249224662780762,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC0_YOFF,-0.152910232543945313,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC0_YSCALE,0.991756856441497803,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC0_ZOFF,-0.065451145172119141,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC0_ZSCALE,0.996204018592834473,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC1_ID,2490378,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC1_PRIO,50,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC1_ROT,-1,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC1_XOFF,-0.000972270965576172,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC1_XSCALE,1.000000000000000000,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC1_YOFF,0.003077507019042969,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC1_YSCALE,1.000000000000000000,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC1_ZOFF,0.112415313720703125,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC1_ZSCALE,1.000000000000000000,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC2_ID,0,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_ACC3_ID,0,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_AIR_CMODEL,0,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_AIR_TUBED_MM,1.500000000000000000,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_AIR_TUBELEN,0.200000002980232239,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_GYRO0_ID,6684682,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_GYRO0_PRIO,50,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_GYRO0_ROT,-1,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_GYRO0_XOFF,0.006760748103260994,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_GYRO0_YOFF,-0.001349882921203971,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_GYRO0_ZOFF,0.000827742216642946,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_GYRO1_ID,2490378,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_GYRO1_PRIO,50,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_GYRO1_ROT,-1,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_GYRO1_XOFF,-0.002458440139889717,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_GYRO1_YOFF,-0.015465410426259041,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_GYRO1_ZOFF,0.003477610414847732,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_GYRO2_ID,0,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_GYRO3_ID,0,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG0_ID,396809,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG0_PRIO,75,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG0_ROT,4,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG0_XCOMP,0.000000000000000000,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG0_XODIAG,0.257161617279052734,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG0_XOFF,-1.202582240104675293,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG0_XSCALE,0.622476100921630859,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG0_YCOMP,0.000000000000000000,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG0_YODIAG,0.071850642561912537,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG0_YOFF,1.216563820838928223,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG0_YSCALE,0.434656292200088501,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG0_ZCOMP,0.000000000000000000,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG0_ZODIAG,-0.093813203275203705,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG0_ZOFF,0.604580044746398926,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG0_ZSCALE,0.514073431491851807,9,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG1_ID,0,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG1_ROT,-1,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG2_ID,0,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG2_ROT,-1,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG3_ID,0,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG3_ROT,-1,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
CAL_MAG_COMP_TYP,0,6,exclude,,hardware calibration belongs to the Gazebo/SITL sensor model
