name,family,fs150_value,sim_iris_value,delta_fs_minus_sim,status,sim_source,px4_group,px4_type,fs_type
ASPD_SCALE,Other,1,1,0,same,metadata default,Airspeed Validator,Float,9
BAT1_A_PER_V,Battery/power,17,,,missing_in_sim_metadata,,,,9
BAT1_CAPACITY,Battery/power,-1,-1,0,same,metadata default,Battery Calibration,Float,9
BAT1_I_CHANNEL,Battery/power,-1,,,missing_in_sim_metadata,,,,6
BAT1_N_CELLS,Battery/power,3,0,3,different,metadata default,Battery Calibration,Int32,6
BAT1_R_INTERNAL,Battery/power,-1,-1,0,same,metadata default,Battery Calibration,Float,9
BAT1_SOURCE,Battery/power,0,0,0,same,metadata default,Battery Calibration,Int32,6
BAT1_V_CHANNEL,Battery/power,-1,,,missing_in_sim_metadata,,,,6
BAT1_V_CHARGED,Battery/power,4.3499999,4.05,0.299999905,different,metadata default,Battery Calibration,Float,9
BAT1_V_DIV,Battery/power,19.2690182,,,missing_in_sim_metadata,,,,9
BAT1_V_EMPTY,Battery/power,3.5999999,3.5,0.0999999046,different,metadata default,Battery Calibration,Float,9
BAT1_V_LOAD_DROP,Battery/power,0.300000012,0.3,1.1920929e-08,same,metadata default,Battery Calibration,Float,9
BAT_ADC_CHANNEL,Battery/power,-1,,,missing_in_sim_metadata,,,,6
BAT_A_PER_V,Battery/power,17,-1,18,different,metadata default,Battery Calibration,Float,9
BAT_CAPACITY,Battery/power,-1,-1,0,same,metadata default,Battery Calibration,Float,9
BAT_CRIT_THR,Battery/power,0.0700000003,0.07,2.98023217e-10,same,metadata default,Battery Calibration,Float,9
BAT_EMERGEN_THR,Battery/power,0.0500000007,0.05,7.45058057e-10,same,metadata default,Battery Calibration,Float,9
BAT_LOW_THR,Battery/power,0.150000006,0.15,5.96046448e-09,same,metadata default,Battery Calibration,Float,9
BAT_N_CELLS,Battery/power,3,4,-1,different,rcS:129 set-default,Battery Calibration,Int32,6
BAT_R_INTERNAL,Battery/power,-1,-1,0,same,metadata default,Battery Calibration,Float,9
BAT_SOURCE,Battery/power,0,0,0,same,metadata default,Battery Calibration,Int32,6
BAT_V_CHARGED,Battery/power,4.3499999,4.05,0.299999905,different,metadata default,Battery Calibration,Float,9
BAT_V_DIV,Battery/power,19.2690182,-1,20.2690182,different,metadata default,Battery Calibration,Float,9
BAT_V_EMPTY,Battery/power,3.5999999,3.5,0.0999999046,different,metadata default,Battery Calibration,Float,9
